TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Utah Jazz,62,45,17,2991,116.7,107.3,9.4,57.8,1.7,17.4,28.3,75.4,52.8,14,56.3,59.7,99.55,54.5,"6,209",
Phoenix Suns,62,44,18,3011,115.4,109.3,6.1,62.4,2.08,19.6,25,74.3,50.2,13,56.1,59.3,97.92,53.5,"6,140",
LA Clippers,64,43,21,3072,117,110.8,6.1,58.1,1.86,18.1,27.1,75.4,51.8,13.4,56.5,59.9,97.8,52.9,"6,265",
Brooklyn Nets,62,42,20,3001,117.3,113,4.2,62.2,1.95,19.2,25.8,73,50.6,13.6,57.4,60.9,100.26,53,"6,277",
Denver Nuggets,62,41,21,3016,116.5,111.3,5.2,62.3,1.99,19.4,29,75,52.1,13.7,56.1,59.1,97.78,52.6,"6,147",
Philadelphia 76ers,62,41,21,3001,112,106.9,5.1,56.5,1.58,16.9,27.8,74.2,51.4,14.6,54.1,57.9,100.53,53.4,"6,284",
Milwaukee Bucks,61,38,23,2938,116.1,109.6,6.5,57.6,1.82,18.1,27.1,75.7,52.1,13.7,56.5,59.2,102.43,53.5,"6,265",
Los Angeles Lakers,62,36,26,3006,109.8,106.5,3.4,60.3,1.61,17.9,26.8,74.7,51.1,15.3,53.8,57,98.9,52,"6,190",
New York Knicks,63,35,28,3044,110.4,108,2.4,54.1,1.62,16.2,27.6,74.2,51.2,13.6,52.3,55.8,96.34,50.1,"6,109",
Atlanta Hawks,63,34,29,3049,113.6,112.3,1.2,59.4,1.8,17.5,28.8,74,51.5,13.4,53.3,57.6,98.41,50.5,"6,255",
Dallas Mavericks,61,34,27,2933,114,112,2.1,55,1.86,17,24.8,73.6,49.6,12.3,54.8,58,97.88,51,"5,980",
Portland Trail Blazers,62,34,28,2981,116,115.7,0.3,51,1.83,15.5,27.5,72.7,49.3,11.4,53.3,57.1,98.91,48.2,"6,141",
Boston Celtics,63,33,30,3039,112.8,111.3,1.5,56.3,1.63,17,29.2,73.3,51.1,14.3,54.1,57.4,98.76,50.5,"6,259",
Miami Heat,63,33,30,3044,108.9,109.8,-0.9,67.6,1.82,19.3,23.9,72.8,48.8,14.6,53.7,57.3,97.06,50.5,"6,159",
Golden State Warriors,62,31,31,2981,109.5,110,-0.4,66.7,1.81,19.4,22.4,72.7,47.8,14.6,54.5,57.8,102.95,50.2,"6,392",
Memphis Grizzlies,61,31,30,2953,111.6,110.7,0.9,62.6,2.04,18.9,27.7,74,50.5,13,52.8,56.1,101.09,50.9,"6,214",
San Antonio Spurs,61,31,30,2958,110.4,110.7,-0.3,59.3,2.15,18,24,73.3,48.5,11.4,51.8,55.5,99.34,50,"6,117",
Charlotte Hornets,62,30,32,2986,110.4,111.8,-1.4,67.3,1.78,19.3,27.1,72.3,49.5,15.2,53.7,56.9,99.18,49,"6,169",
Indiana Pacers,61,29,32,2958,111.2,111.7,-0.5,62.8,1.98,18.9,24.7,70.1,47.4,13.1,53.7,57,101.52,49.8,"6,252",
Washington Wizards,62,28,34,2991,109.5,112.3,-2.8,58.9,1.7,17.6,24.5,73.7,49.2,14,52.9,56.7,104.48,49,"6,507",
New Orleans Pelicans,62,27,35,3001,114,114,0,61.2,1.78,18.4,30.3,75.7,53,14.5,54.4,57.7,100.01,51.1,"6,257",
Chicago Bulls,62,26,36,2996,110.6,112.2,-1.6,63.6,1.74,19.3,26.5,76.6,51.9,15.4,55,57.9,99.85,49.8,"6,240",
Toronto Raptors,62,26,36,2976,112.2,111.5,0.7,61.5,1.82,17.9,25.6,71.6,48,13.4,53.3,57.2,99.62,49.2,"6,175",
Sacramento Kings,62,25,37,2981,113.3,118.3,-5,59.3,1.91,18.3,25.3,71.4,48.1,13.1,55.1,58.1,100.73,47.6,"6,259",
Cleveland Cavaliers,62,21,41,3001,105.4,112.2,-6.8,61.7,1.57,17.7,27.8,72.7,49.7,15.5,51.1,54.5,97.98,46.8,"6,119",
Oklahoma City Thunder,62,21,41,2991,103.4,112.7,-9.3,57.4,1.36,16.3,25,74,49.4,16,51.5,54.6,101.46,45,"6,329",
Detroit Pistons,62,19,43,3006,108.1,111.9,-3.8,62.9,1.64,17.8,27.3,72.5,49.5,15,51.8,55.7,98.28,47.8,"6,156",
Minnesota Timberwolves,63,19,44,3044,108,114.6,-6.5,62.4,1.75,17.8,26.6,71.6,48.1,14,51.6,55.1,101.82,46.3,"6,452",
Orlando Magic,62,19,43,2986,105.2,113.4,-8.3,57.3,1.74,16.5,25,74.9,48.8,12.8,49.4,52.9,98.91,45.4,"6,152",
Houston Rockets,62,15,47,2981,106.3,113.1,-6.8,59.2,1.58,16.9,23.8,71.9,47.2,14.4,51.7,54.9,101.3,45.4,"6,280",
